Student_ID,Attendance,Assignment_Score,Study_Hours,Internal_Test_1,Internal_Test_2,Final_Exam_Marks
S1159,84,7,3,34,33,67
S1160,86,8,3,31,36,77
S1161,100,8,3,39,40,78
S1162,93,9,3,40,36,81
S1164,78,8,3,34,33,69
S1167,91,8,4,30,36,66
S1168,92,7,3,34,30,66
S1169,92,7,3,30,40,77
S1173,89,8,3,34,29,68
S1175,91,8,3,28,34,69
S1176,92,8,2,40,36,74
S1177,95,8,4,36,28,71
S1178,91,9,2,37,35,79
S1181,83,9,3,32,30,65
S1182,100,10,3,36,40,80
S1184,82,7,3,29,40,67
S1186,91,7,3,32,39,70
S1190,86,7,3,34,33,67
S1191,94,8,2,36,35,68
S1193,83,7,4,37,33,72
S1194,92,6,2,33,32,66
S1195,92,6,3,34,29,66
S1196,88,8,3,31,31,65
S1197,90,8,2,34,35,65
S1198,93,8,3,36,38,87
S1200,80,8,3,35,33,69
S1201,90,8,3,35,33,70
S1202,99,7,3,27,40,81
S1203,84,7,4,34,30,65
S1205,95,7,3,38,39,77
S1206,82,8,3,35,34,72
S1209,84,8,3,37,29,70
S1210,90,8,3,33,31,67
S1211,77,8,2,27,37,66
S1221,86,9,3,40,35,81
S1226,89,7,3,34,40,76
S1227,84,9,3,35,33,69
S1228,99,10,3,36,40,73
S1229,93,8,3,33,35,71
S1230,91,7,3,30,36,72
S1233,90,8,2,38,31,65
S1234,92,8,3,36,28,73
S1236,100,9,3,37,40,87
S1239,80,8,3,30,37,72
S1240,89,9,4,34,37,77
S1241,91,9,3,31,36,74
S1242,90,8,3,33,37,72
S1243,84,8,3,38,39,87
S1244,94,8,3,34,40,80
S1247,86,9,4,35,30,75
S1248,92,7,3,31,35,70
S1249,89,8,3,36,40,78
S1251,94,8,4,34,34,75
S1252,97,9,4,39,37,87
S1253,99,9,3,40,33,87
S1254,88,8,3,33,40,76
S1255,100,9,3,38,36,85
S1256,90,8,2,29,40,80
S1257,88,8,3,32,29,69
S1265,93,7,3,34,38,72
S1267,87,9,3,34,38,82
S1271,92,8,3,32,33,67
S1272,89,8,4,37,31,66
S1273,91,9,3,38,35,85
S1275,94,7,2,40,34,74
S1279,91,8,3,34,37,78
S1281,94,9,3,37,28,67
S1284,83,8,2,37,33,67
S1285,86,9,3,34,37,81
S1286,96,9,4,40,38,90
S1288,90,9,4,38,39,85
S1289,77,8,3,40,29,75
S1292,83,7,3,34,28,70
S1293,86,8,3,28,36,69
S1295,89,9,3,39,38,78
S1307,83,9,3,35,32,69
S1309,90,10,3,40,38,88
S1312,82,8,3,32,29,65
S1315,87,8,3,32,37,65
S1317,86,8,3,36,36,76
S1318,100,8,3,39,40,85
S1319,81,8,3,35,33,76
S1323,88,7,3,33,37,68
S1324,92,7,3,32,31,70
S1328,83,8,3,38,29,72
S1332,77,8,3,29,31,68
S1333,84,7,3,38,26,71
S1336,91,8,3,31,35,69
S1337,83,7,3,31,39,70
S1340,86,9,2,40,35,80
S1344,81,9,2,36,40,70
S1345,93,9,4,38,37,89
S1350,82,8,3,31,39,73
S1351,82,9,3,35,36,76
S1355,96,9,3,40,36,89
S1357,91,8,4,30,33,74
S1358,100,8,3,37,40,92
S1360,96,8,2,40,35,79
S1362,95,8,3,31,39,77
S1363,87,7,2,38,29,72
S1365,78,7,2,31,33,67
S1366,86,9,3,39,39,78
S1370,84,8,3,31,35,66
S1372,79,9,2,37,29,69
S1373,92,7,2,31,31,70
S1375,77,7,4,33,27,70
S1378,94,8,4,36,28,69
S1381,94,7,3,30,32,65
S1384,94,9,3,38,36,74
S1387,95,9,4,40,34,76
S1391,84,7,4,39,37,82
S1393,83,8,3,34,34,72
S1396,99,10,3,40,40,88
S1397,88,8,2,31,36,70
S1399,84,7,2,31,34,71
S1400,88,7,3,33,36,81
S1402,91,8,3,40,31,71
S1403,84,8,3,32,32,67
S1404,90,8,3,34,35,66
S1409,100,7,3,40,34,85
S1410,99,8,3,39,39,88
S1411,100,8,3,38,32,69
S1412,89,7,3,36,35,69
S1414,92,9,3,35,34,80
S1416,93,9,3,34,40,86
S1420,85,8,3,33,38,67
S1421,99,9,2,39,38,79
S1423,88,9,2,35,34,69
S1424,81,8,2,36,30,66
S1425,98,8,3,38,38,74
S1428,100,8,2,33,34,71
S1429,81,10,3,40,39,77
S1430,84,8,3,34,32,68
S1431,82,7,3,32,31,65
S1432,90,8,3,35,39,70
S1436,87,9,4,30,40,84
S1438,94,7,3,27,29,69
S1440,88,7,4,31,33,72
S1441,84,7,2,33,32,67
S1442,96,9,2,38,33,79
S1444,81,8,3,37,39,75
S1446,78,8,3,29,38,69
S1449,90,8,4,40,38,85
S1452,96,10,3,33,40,84
S1454,81,9,4,34,35,70
S1455,87,8,3,34,33,69
S1459,83,9,3,36,35,83
S1461,100,9,4,40,37,93
S1463,83,8,2,36,35,71
S1464,99,9,3,31,40,75
S1465,85,7,3,29,39,75
S1468,91,9,3,37,34,77
S1469,89,9,4,33,36,74
S1473,84,8,3,38,38,71
S1475,87,8,3,25,36,66
S1479,93,9,3,40,33,76
S1484,92,8,3,32,34,70
S1485,94,9,2,40,33,74
S1488,92,8,2,37,31,74
S1489,94,7,4,38,37,82
S1490,78,7,3,37,29,65
S1492,96,10,3,40,40,93
S1495,88,8,4,35,33,76
S1496,91,7,2,30,33,73
S1497,85,8,3,38,28,71
S1503,84,7,3,34,31,65
S1504,89,8,4,35,30,70
S1505,90,8,3,31,32,72
S1507,86,8,3,37,35,66
S1510,96,9,3,38,32,77
S1511,82,7,4,35,28,71
S1512,86,8,3,25,37,66
S1514,90,9,3,33,37,74
S1518,91,6,2,26,34,71
S1519,97,8,4,33,40,84
S1520,90,9,4,40,37,84
S1523,100,8,3,31,37,74
S1530,82,7,3,30,33,68
S1531,89,8,3,36,31,71
S1532,93,7,3,40,35,76
S1534,74,9,3,31,40,74
S1535,88,8,3,35,40,82
S1536,87,7,3,36,32,68
S1537,89,8,3,35,36,73
S1539,91,8,3,40,36,78
S1542,89,8,4,37,32,77
S1549,83,8,3,38,31,71
S1550,86,8,3,30,35,68
S1552,86,7,2,33,29,65
S1553,85,9,3,39,35,76
S1555,87,7,3,32,37,71
S1560,97,8,3,36,33,74
S1562,86,7,4,35,30,66
S1566,89,8,3,34,35,83
S1567,88,7,3,33,35,70
S1569,94,7,3,24,40,75
S1574,100,9,3,39,40,91
S1575,86,8,4,31,33,70
S1577,100,8,4,39,35,85
S1579,100,8,3,37,37,82
S1580,85,8,3,31,37,78
S1581,86,8,3,34,34,70
S1582,88,9,3,36,34,80
S1583,84,8,3,37,40,77
S1584,90,7,3,37,31,71
S1585,82,8,2,30,33,66
S1587,88,8,3,33,35,68
S1588,87,7,3,34,28,68
S1589,85,10,3,33,37,81
S1590,94,8,3,30,36,77
S1591,89,8,3,34,32,70
S1592,89,8,3,32,34,70
S1593,86,9,3,40,40,80
S1596,86,9,3,37,40,81
S1597,80,7,3,39,28,65
S1599,90,7,4,32,32,68
S1600,90,7,2,35,30,75
S1601,96,9,3,38,40,81
S1602,78,7,3,27,31,68
S1605,93,8,3,33,38,80
S1607,83,7,3,31,30,65
S1610,89,9,3,36,34,69
S1614,91,8,3,35,37,80
S1615,86,8,2,35,34,66
S1616,86,8,3,34,31,70
S1621,99,7,5,33,40,83
S1622,93,8,3,35,40,76
S1625,96,8,3,31,37,74
S1627,94,8,3,38,35,76
S1628,91,7,4,29,30,74
S1630,90,10,4,34,35,77
S1631,100,8,3,27,35,79
S1632,83,8,4,33,32,67
S1637,82,9,3,38,35,80
S1639,95,7,3,35,40,80
S1640,96,9,3,37,40,86
S1641,82,7,3,26,35,65
S1642,93,9,3,39,38,87
S1643,92,9,4,36,40,85
S1644,98,8,3,29,40,79
S1646,80,8,2,28,35,65
S1647,96,8,3,35,37,74
S1649,81,8,4,37,29,65
S1654,89,9,3,40,30,70
S1655,98,8,4,37,37,86
S1657,90,7,3,28,34,73
S1658,85,9,3,34,37,76
S1659,88,7,3,31,30,66
S1660,83,8,3,29,31,67
S1663,83,9,3,32,37,77
S1665,93,8,3,35,37,73
S1667,84,7,4,33,36,72
S1668,73,8,2,36,34,65
S1670,85,8,3,32,37,67
S1671,82,7,3,36,29,66
S1672,86,7,3,31,28,66
S1674,88,7,2,32,34,76
S1676,93,8,3,38,33,76
S1677,94,9,3,39,34,81
S1687,100,10,3,40,40,86
S1693,89,7,4,33,32,73
S1694,82,8,4,29,32,69
S1695,87,8,3,38,29,65
S1696,88,8,4,31,38,75
S1697,86,8,3,34,33,67
S1700,94,6,3,33,34,65
S1702,99,8,3,33,35,75
S1705,91,8,2,37,29,66
S1706,87,8,3,32,39,75
S1708,90,7,2,28,33,67
S1710,89,8,4,30,33,68
S1711,85,8,2,40,34,76
S1713,90,9,3,37,37,83
S1717,89,8,3,38,31,74
S1718,81,8,2,34,37,73
S1723,95,9,4,37,27,68
S1728,87,9,2,40,39,76
S1729,89,8,3,40,40,80
S1730,98,8,3,34,37,77
S1739,100,9,3,39,34,84
S1740,82,7,3,28,40,68
S1741,83,8,2,40,36,72
S1743,85,9,3,31,38,67
S1744,88,7,4,35,33,72
S1745,87,9,3,33,34,75
S1748,88,8,3,30,37,65
S1752,81,7,2,32,36,74
S1755,88,9,3,32,39,78
S1756,86,8,3,35,34,67
S1758,87,8,2,34,24,65
S1761,82,9,3,36,38,81
S1763,87,8,3,39,29,73
S1766,84,9,2,36,34,66
S1768,89,8,2,39,34,68
S1772,93,8,4,40,27,73
S1774,86,8,3,40,33,72
S1776,100,9,4,40,40,87
S1777,97,9,4,40,30,75
S1779,88,7,3,39,36,76
S1781,91,8,3,36,35,78
S1782,87,8,2,34,35,73
S1787,92,8,3,32,39,76
S1789,100,7,3,38,26,70
S1791,86,7,2,32,37,65
S1792,99,7,3,30,36,73
S1794,94,7,3,40,24,68
S1795,77,8,3,36,31,67
S1796,86,8,3,38,29,76
S1797,84,8,3,36,35,75
S1799,97,9,3,40,36,81
S1800,96,7,3,28,34,76
S1801,91,7,3,28,35,69
S1802,84,9,3,35,38,73
S1804,91,7,3,34,30,69
S1808,87,7,4,31,40,78
S1810,89,9,3,38,36,76
S1811,100,8,3,36,38,77
S1812,82,6,3,33,29,68
S1813,94,8,2,34,31,66
S1814,100,9,3,39,35,83
S1815,89,8,3,40,32,75
S1816,87,8,4,34,34,72
S1819,88,7,4,28,33,65
S1821,84,8,3,31,32,71
S1822,97,8,4,33,31,68
S1823,86,8,4,31,31,67
S1824,100,9,3,39,39,86
S1826,92,9,2,37,34,75
S1828,84,8,3,32,37,70
S1829,82,7,3,34,29,66
S1830,86,7,3,32,33,67
S1831,91,8,3,35,34,77
S1835,91,8,4,33,30,70
S1836,97,8,3,39,31,78
S1838,70,9,2,31,37,65
S1840,96,8,3,40,37,84
S1843,98,8,4,32,40,83
S1844,83,9,2,34,33,69
S1845,85,8,3,35,31,68
S1847,91,8,3,34,33,74
S1848,84,8,3,30,40,67
S1854,83,8,2,36,28,67
S1857,99,9,3,40,37,81
S1859,86,8,3,27,34,66
S1860,84,7,3,38,34,71
S1863,93,9,2,37,39,79
S1865,90,8,4,29,35,71
S1867,90,6,3,36,32,69
S1874,86,7,4,33,38,82
S1876,81,9,3,25,37,72
S1878,94,8,2,36,35,68
S1879,94,8,3,36,36,81
S1880,86,8,2,35,38,73
S1881,97,8,2,36,38,79
S1883,100,8,4,40,38,88
S1884,96,9,3,40,33,71
S1888,94,8,3,40,33,77
S1890,90,9,3,36,39,73
S1891,87,8,4,31,30,73
S1892,96,8,3,38,34,74
S1894,82,9,3,37,33,65
S1896,94,7,2,30,32,65
S1897,100,8,4,39,38,82
S1898,90,8,2,33,38,73
S1901,95,8,3,36,30,76
S1903,85,8,3,28,38,68
S1906,89,7,3,29,35,78
S1907,96,7,4,37,31,71
S1908,76,9,2,32,35,69
S1911,84,8,3,28,32,67
S1912,88,8,2,34,33,69
S1915,77,9,4,34,35,72
S1916,89,8,3,39,34,80
S1917,81,10,3,37,36,76
S1918,90,8,4,37,29,72
S1919,91,8,3,34,32,71
S1922,91,6,4,25,34,69
S1923,96,9,4,32,40,74
S1925,93,8,2,34,29,69
S1926,88,8,2,33,36,66
S1927,84,9,4,39,39,77
S1928,99,9,3,36,38,87
S1932,83,8,3,35,33,66
S1933,92,8,3,36,30,72
S1934,98,8,4,40,36,90
S1935,94,7,3,36,30,68
S1938,93,8,3,35,40,75
S1939,78,7,3,32,32,65
S1944,79,7,3,30,34,65
S1946,86,8,3,33,30,68
S1947,87,9,3,31,33,68
S1948,88,9,3,35,35,76
S1949,84,8,2,29,33,66
S1950,94,8,3,31,40,70
S1952,86,8,4,38,33,83
S1953,98,8,3,35,33,77
S1954,82,7,3,35,31,71
S1957,96,8,3,34,26,65
S1958,94,6,3,34,32,75
S1961,86,7,3,40,35,73
S1963,100,8,2,29,40,82
S1964,90,8,3,38,40,82
S1965,85,8,3,35,34,68
S1966,90,7,4,35,36,78
S1969,90,7,3,30,35,68
S1972,84,8,3,30,36,67
S1975,85,10,3,32,38,68
S1978,89,9,3,36,35,69
S1979,97,8,2,35,40,71
S1983,100,8,3,33,34,70
S1984,81,9,2,36,35,79
S1985,86,8,4,33,34,74
S1989,91,8,2,29,40,71
S1991,82,8,3,35,29,71
S1992,84,7,3,29,28,65
S1996,83,8,3,32,38,66
S1997,82,8,3,32,31,71
S1999,90,7,3,30,33,70
S2000,92,8,2,37,33,70
S2001,92,8,3,35,32,77
S2002,86,9,2,33,35,66
S2003,94,10,3,40,40,84
S2006,77,9,3,37,37,66
S2007,100,8,3,40,40,100
S2010,85,8,3,28,33,67
S2011,94,9,3,33,33,70
S2012,89,8,3,40,29,68
S2013,85,6,3,31,33,67
S2015,85,8,3,30,35,67
S2018,91,7,3,31,35,71
S2019,74,8,4,38,28,65
S2021,90,8,3,30,39,72
S2023,94,8,3,38,32,73
S2026,96,8,2,37,32,76
S2029,78,7,3,34,33,70
S2030,85,8,4,33,34,72
S2032,92,8,2,34,38,74
S2033,85,9,4,35,40,86
S2035,82,7,3,28,40,69
S2036,77,7,3,35,27,67
S2037,79,8,3,37,30,67
S2038,91,8,3,39,31,82
S2040,86,8,3,33,39,77
S2041,98,7,3,40,30,73
S2047,94,6,3,34,33,70
S2048,79,8,3,31,27,68
S2051,99,7,2,33,33,69
S2052,89,9,2,31,38,69
S2053,94,8,3,37,35,82
S2055,82,7,3,35,29,66
S2057,87,8,3,39,28,82
S2058,90,8,3,36,35,76
S2061,93,9,3,35,36,81
S2062,99,9,2,36,40,85
S2063,99,9,4,40,40,94
S2064,100,8,3,32,35,75
S2065,96,8,3,32,40,76
S2067,94,7,3,30,40,68
S2068,78,7,3,34,30,65
S2072,89,10,3,37,39,89
S2073,91,9,3,30,36,73
S2075,90,8,3,39,33,71
S2076,89,9,3,36,39,85
S2078,100,7,3,32,37,78
S2079,88,8,4,35,36,83
S2082,91,10,4,37,40,86
S2085,88,7,3,30,33,67
S2087,100,10,3,37,40,86
S2088,92,9,3,30,29,65
S2089,93,6,2,32,35,66
S2090,94,7,3,36,38,79
S2094,92,7,3,36,33,72
S2097,92,8,2,40,40,75
S2098,98,7,3,39,33,78
S2102,91,7,3,37,29,71
S2103,87,9,3,36,30,70
S2104,89,9,3,34,39,73
S2106,95,10,3,38,40,81
S2107,89,9,3,29,38,75
S2110,88,8,3,36,34,76
S2112,78,7,3,33,30,66
S2114,89,8,3,32,39,72
S2115,98,8,4,37,33,74
S2117,99,8,3,37,40,79
S2118,88,8,3,40,34,68
S2120,82,7,3,31,33,66
S2122,90,8,2,29,34,66
S2124,85,7,3,27,40,66
S2125,87,8,3,32,39,70
S2126,85,9,4,33,35,81
S2129,92,8,3,36,31,65
S2130,89,8,3,33,39,70
S2133,100,9,3,37,35,79
S2135,81,8,3,39,29,72
S2136,82,7,4,27,39,77
S2137,95,8,4,34,34,76
S2138,85,8,2,32,39,66
S2143,86,8,3,37,29,69
S2144,85,8,3,33,24,67
S2145,97,8,4,34,40,86
S2146,84,8,3,31,39,69
S2147,100,8,3,33,30,68
S2148,78,8,3,29,36,68
S2149,78,9,3,31,35,66
S2150,100,9,3,40,39,89
S2152,93,8,3,31,35,68
S2153,76,8,3,34,37,65
S2155,83,8,3,40,30,69
S2156,84,8,3,32,32,72
S2157,93,8,2,40,35,76
S2159,86,8,3,32,31,68
S2160,92,7,3,30,35,76
S2161,86,9,2,34,40,78
S2162,100,8,4,40,37,82
S2163,92,8,2,37,31,67
S2165,93,9,3,32,40,75
S2166,93,7,3,31,31,67
S2167,84,8,2,36,32,69
S2168,85,7,3,27,32,65
S2169,94,8,3,37,36,74
S2174,95,7,4,34,40,81
S2175,93,7,3,33,37,76
S2176,88,10,3,40,40,90
S2178,82,9,3,35,33,72
S2179,86,7,3,36,35,66
S2180,83,8,4,37,38,82
S2183,100,7,3,40,28,83
S2184,95,10,3,36,40,81
S2185,84,6,3,31,30,66
S2186,100,7,3,37,38,75
S2187,78,8,3,32,34,65
S2188,90,8,2,36,29,69
S2190,97,8,3,34,34,71
S2191,91,9,2,34,28,65
S2192,97,9,2,40,33,70
S2193,87,7,3,25,40,66
S2195,85,9,3,33,35,72
S2196,87,8,4,37,33,76
S2197,81,8,3,32,35,72
S2199,95,8,2,34,34,68
S2200,94,8,3,32,39,74
S2203,91,8,3,36,37,68
S2207,85,8,3,39,24,66
S2208,93,9,3,35,32,72
S2211,100,8,3,33,39,77
S2216,100,8,3,40,36,91
S2219,86,8,3,29,35,67
S2222,97,9,3,40,35,78
S2223,94,8,3,37,34,73
S2226,81,8,3,37,33,68
S2229,93,8,3,34,35,77
S2232,97,9,3,37,35,82
S2235,95,8,3,38,38,84
S2236,86,8,3,35,31,66
S2237,87,8,3,31,32,70
S2242,95,9,3,40,37,76
S2243,99,9,3,33,37,76
S2244,91,8,2,38,32,66
S2245,79,8,3,32,36,66
S2246,88,9,3,40,34,82
S2249,88,6,2,34,29,65
S2251,90,7,3,36,34,69
S2254,100,7,4,36,37,88
S2255,99,8,4,39,34,93
S2258,84,7,3,30,36,66
S2260,83,8,3,33,32,78
S2263,88,7,4,32,35,75
S2265,87,8,3,30,38,67
S2266,85,7,4,28,40,74
S2267,86,8,2,34,33,73
S2268,88,8,3,30,40,86
S2270,94,9,4,34,40,81
S2271,97,7,4,28,40,77
S2272,93,8,4,35,35,74
S2273,84,9,3,35,40,82
S2276,89,7,2,30,31,68
S2277,84,8,3,28,29,66
S2278,99,9,3,33,36,71
S2280,91,9,3,38,36,80
S2285,95,8,3,34,36,68
S2287,87,7,2,31,40,69
S2288,86,8,3,34,31,67
S2291,91,9,3,33,32,70
S2292,86,7,3,31,36,69
S2293,93,8,2,29,39,74
S2294,80,6,3,28,35,68
S2295,89,8,5,33,40,85
S2296,83,8,3,37,33,71
S2299,90,9,3,39,35,75
S2307,96,9,3,37,34,76
S2308,88,7,2,36,32,67
S2309,87,8,3,30,39,77
S2310,89,8,3,29,36,66
S2311,100,10,4,40,32,84
S2313,90,8,4,35,34,78
S2314,86,9,3,40,38,80
S2315,93,9,3,36,36,83
S2316,92,8,3,38,32,74
S2317,94,9,2,39,40,81
S2318,86,7,3,33,32,67
S2319,85,7,3,37,29,75
S2320,85,7,3,35,35,69
S2321,92,8,4,38,35,80
S2322,79,8,3,34,33,65
S2324,82,7,3,34,34,69
S2327,90,8,3,35,37,78
S2329,82,8,4,32,30,69
S2330,90,9,2,33,35,71
S2332,89,9,2,35,39,76
S2334,95,9,3,37,36,81
S2337,100,8,4,35,35,82
S2338,94,8,3,39,39,78
S2341,93,8,2,33,34,65
S2344,83,9,2,30,33,68
S2346,98,8,2,35,40,69
S2348,79,8,2,30,34,66
S2349,96,9,4,40,37,85
S2350,88,8,3,31,36,65
S2353,93,8,3,40,40,84
S2354,85,7,3,37,31,71
S2355,83,9,3,33,36,68
S2356,84,9,3,37,37,79
S2357,100,8,3,32,40,84
S2358,100,10,3,33,40,81
S2359,85,10,2,34,36,68
S2366,80,8,3,33,32,66
S2368,100,8,4,33,35,76
S2369,98,8,2,37,33,82
S2371,100,8,4,34,40,81
S2372,80,9,3,37,33,71
S2373,94,9,4,40,40,89
S2374,99,8,3,38,37,78
S2376,91,9,4,38,37,79
S2377,100,9,2,38,36,75
S2379,87,8,2,26,40,68
S2382,85,8,3,33,33,74
S2383,87,8,3,40,32,70
S2385,83,8,3,35,36,71
S2386,88,8,4,38,35,77
S2387,87,8,2,38,25,66
S2388,98,7,4,25,35,68
S2391,83,7,2,34,30,68
S2392,100,9,2,37,35,77
S2393,90,8,2,29,35,71
S2394,89,8,3,34,32,66
S2396,89,8,3,36,32,69
S2397,93,9,2,39,40,77
S2398,87,7,3,37,30,69
S2399,84,8,3,33,40,71
S2402,100,9,4,37,39,84
S2403,97,9,4,40,40,90
S2405,84,8,4,37,31,67
S2406,78,9,3,40,34,68
S2409,95,7,3,34,35,74
S2410,87,8,3,37,35,75
S2411,93,8,3,37,40,80
S2412,88,8,2,40,40,81
S2418,93,10,4,37,35,79
S2420,84,8,3,33,30,68
S2421,93,9,2,40,28,66
S2422,86,7,3,37,35,72
S2425,88,9,4,34,40,82
S2426,85,8,3,36,36,75
S2429,90,7,3,25,32,66
S2430,89,8,3,36,31,73
S2433,94,8,3,36,28,75
S2435,89,7,4,31,30,66
S2436,80,10,3,36,33,65
S2437,86,7,4,33,37,70
S2438,91,9,3,37,40,78
S2442,81,8,3,34,37,70
S2444,94,7,4,34,37,78
S2445,81,8,2,35,30,71
S2447,100,9,2,40,34,82
S2448,76,7,3,35,31,65
S2449,92,9,3,32,38,74
S2450,85,9,3,30,39,73
S2452,83,6,3,31,38,68
S2454,83,8,2,33,31,65
S2457,85,8,3,35,38,72
S2458,89,8,3,35,33,66
S2459,84,8,4,37,32,71
S2460,86,8,4,37,38,85
S2461,93,7,2,31,33,72
S2465,88,8,3,34,40,77
S2468,97,9,3,38,37,84
S2470,90,8,3,37,35,76
S2471,86,7,3,36,28,65
S2473,100,9,3,31,40,75
S2474,91,9,3,34,38,73
S2475,86,8,3,34,38,75
S2476,85,8,3,38,32,70
S2477,97,9,3,33,40,80
S2478,91,8,3,36,32,68
S2479,85,8,3,40,36,73
S2481,80,8,3,32,39,69
S2482,87,8,3,37,32,74
S2493,76,6,3,32,25,65
S2498,88,8,3,37,39,69
S2500,98,8,3,36,29,70
S2503,80,8,3,32,37,72
S2504,89,9,2,40,40,80
S2506,88,8,5,35,34,78
S2507,86,8,2,35,36,78
S2510,82,8,3,32,34,73
S2511,77,7,3,31,31,66
S2514,91,9,3,34,38,74
S2515,82,8,3,26,37,66
S2516,81,8,4,29,36,78
S2517,89,7,3,39,35,67
S2520,90,7,3,32,36,68
S2525,89,7,3,33,29,70
S2526,92,8,2,35,38,84
S2528,87,9,3,40,32,75
S2530,85,7,3,35,31,66
S2531,91,8,3,27,36,71
S2534,86,8,4,33,32,67
S2536,94,9,3,32,37,76
S2538,85,8,2,32,36,66
S2542,85,8,3,37,33,67
S2545,100,8,3,40,33,81
S2546,81,8,3,35,38,77
S2547,94,9,3,39,33,81
S2550,80,8,3,27,34,65
S2551,92,9,4,33,40,91
S2554,88,7,2,27,40,70
S2555,87,9,3,39,39,81
S2556,95,8,2,36,40,75
S2557,86,8,3,35,37,80
S2559,95,9,4,40,36,81
S2560,91,8,3,39,34,83
S2562,83,8,3,32,36,67
S2567,99,9,3,37,40,83
S2571,91,7,2,30,35,67
S2576,93,7,3,39,31,72
S2581,96,9,4,34,40,81
S2582,91,8,3,31,35,67
S2583,97,8,3,40,34,80
S2584,80,8,3,33,33,67
S2585,100,9,3,37,40,76
S2586,76,8,2,34,35,66
S2588,98,7,3,38,34,75
S2589,87,8,3,39,40,80
S2591,100,7,3,33,38,77
S2592,80,8,3,38,31,65
S2594,89,9,3,33,40,74
S2596,90,8,3,36,29,76
S2599,97,9,3,33,40,78
S2600,97,8,3,30,40,72
S2601,85,7,3,31,35,75
S2602,76,8,3,35,37,67
S2605,89,7,3,32,35,74
S2608,96,10,3,37,38,82
S2609,90,8,2,33,33,69
S2611,81,9,2,33,33,67
S2612,77,8,3,30,37,65
S2615,97,8,4,36,40,84
S2617,86,9,4,30,36,72
S2619,88,8,3,40,34,72
S2620,92,8,3,27,37,73
S2621,100,9,3,40,40,87
S2622,95,9,2,40,37,80
S2623,87,8,3,34,31,72
S2624,81,8,2,35,34,75
S2629,85,8,3,30,39,70
S2630,82,7,3,32,39,73
S2631,91,8,4,34,40,79
S2632,75,9,3,35,35,74
S2634,85,8,3,32,32,70
S2636,82,7,3,32,35,67
S2639,94,7,3,28,39,65
S2640,95,8,3,32,35,75
S2642,95,8,3,34,39,80
S2645,95,8,2,35,32,72
S2646,100,8,2,40,39,82
S2647,100,8,3,40,40,88
S2648,100,9,4,40,36,84
S2650,95,9,3,35,40,87
